human_time	tobii_timestamp_us	x_position	y_position
2026-01-30 15:30:53.185	1380198514699	-0.0335765	1.68426
2026-01-30 15:30:53.186	1380198544738	-0.0354344	1.70626
2026-01-30 15:30:53.187	1380198575019	-0.0377669	1.72502
2026-01-30 15:30:53.187	1380198605163	-0.0387056	1.73115
2026-01-30 15:30:53.188	1380198635430	-0.0403585	1.7322
2026-01-30 15:30:53.189	1380198665767	-0.0410718	1.72013
2026-01-30 15:30:53.189	1380198695864	-0.0407514	1.72173
2026-01-30 15:30:53.190	1380198726210	-0.0408292	1.72278
2026-01-30 15:30:53.191	1380198756510	-0.040483	1.72367
2026-01-30 15:30:53.192	1380198786672	-0.0397817	1.72477
2026-01-30 15:30:53.193	1380198816747	-0.0389405	1.72346
2026-01-30 15:30:53.194	1380198847066	-0.0377168	1.7243
2026-01-30 15:30:53.195	1380198877421	-0.0379531	1.71366
2026-01-30 15:30:53.196	1380198907491	-0.0368772	1.71267
2026-01-30 15:30:53.197	1380198937855	-0.0348004	1.70447
2026-01-30 15:30:53.197	1380198968078	-0.0349929	1.69408
2026-01-30 15:30:53.198	1380198998133	-0.0364116	1.70575
2026-01-30 15:30:53.199	1380199028190	-0.037439	1.70083
2026-01-30 15:30:53.200	1380199058429	-0.0383567	1.70789
2026-01-30 15:30:53.201	1380199088564	-0.0396853	1.70644
2026-01-30 15:30:53.201	1380199118744	-0.179	1.69051
2026-01-30 15:30:53.202	1380199149053	-0.178598	1.69217
2026-01-30 15:30:53.203	1380199179409	-0.0382636	1.71565
2026-01-30 15:30:53.204	1380199209658	-0.0370991	1.71842
2026-01-30 15:30:53.206	1380199239706	-0.036312	1.71172
2026-01-30 15:30:53.206	1380199269945	-0.0357248	1.71431
2026-01-30 15:30:53.207	1380199300107	-0.171551	1.71479
2026-01-30 15:30:53.208	1380199330453	-0.031565	1.71418
2026-01-30 15:30:53.210	1380199360501	-0.0288341	1.70668
2026-01-30 15:30:53.212	1380199390847	-0.0266924	1.69719
2026-01-30 15:30:53.213	1380199421138	-0.0240831	1.69686
2026-01-30 15:30:53.214	1380199451300	-0.0234198	1.6919
2026-01-30 15:30:53.215	1380199481646	-0.0233643	1.68816
2026-01-30 15:30:53.215	1380199511710	-0.0228624	1.68508
2026-01-30 15:30:53.216	1380199541951	-0.0217811	1.68259
2026-01-30 15:30:53.217	1380199572260	-0.0192933	1.67881
2026-01-30 15:30:53.217	1380199602422	-0.0163988	1.68114
2026-01-30 15:30:53.218	1380199632750	-0.0159861	1.67949
2026-01-30 15:30:53.219	1380199663059	-0.0166684	1.67894
2026-01-30 15:30:53.220	1380199693097	-0.0191278	1.67752
